set_id,emotion
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
2,2
2,2
2,2
2,2
2,10
2,2
2,2
2,2
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18,18
18,10
18,18
18,10
18,18
18,10
18,18
18,18
16,16
16,16
16,16
16,16
16,16
16,16
16,16
16,16
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
